[macro_film] all (60 assets) | device=cuda | seed=7
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [macro_film] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
----------------------------------------------------------------------
Epoch 108/300 | D=-0.5602 G=4.4360 | frob=3.0922 (best=3.1875) | 33.5s
Epoch 109/300 | D=-0.5656 G=4.0759 | frob=3.0584 (best=3.0922) | 33.4s
Epoch 110/300 | D=-0.5745 G=3.7609 | frob=3.0624 (best=3.0584) | 33.3s
Epoch 111/300 | D=-0.5734 G=3.5596 | frob=3.0256 (best=3.0584) | 33.4s
Epoch 112/300 | D=-0.5827 G=3.2995 | frob=3.2170 (best=3.0256) | 33.1s
Epoch 113/300 | D=-0.5849 G=3.1087 | frob=3.2163 (best=3.0256) | 33.3s
Epoch 114/300 | D=-0.5924 G=2.8800 | frob=3.0664 (best=3.0256) | 33.7s
Epoch 115/300 | D=-0.5961 G=2.7005 | frob=3.1714 (best=3.0256) | 33.3s
Epoch 116/300 | D=-0.5961 G=2.5111 | frob=3.0378 (best=3.0256) | 33.2s
Epoch 117/300 | D=-0.6023 G=2.3073 | frob=2.9294 (best=3.0256) | 33.5s
Epoch 118/300 | D=-0.6027 G=2.1470 | frob=2.9061 (best=2.9294) | 33.3s
Epoch 119/300 | D=-0.6043 G=1.9742 | frob=3.0549 (best=2.9061) | 33.2s
Epoch 120/300 | D=-0.6055 G=1.8294 | frob=2.9087 (best=2.9061) | 33.7s
Epoch 121/300 | D=-0.6016 G=1.6417 | frob=2.9137 (best=2.9061) | 33.4s
Epoch 122/300 | D=-0.6021 G=1.4705 | frob=2.7907 (best=2.9061) | 33.5s
Epoch 123/300 | D=-0.6079 G=1.3327 | frob=2.8900 (best=2.7907) | 34.6s
Epoch 124/300 | D=-0.6078 G=1.2258 | frob=2.8386 (best=2.7907) | 36.4s
Epoch 125/300 | D=-0.6056 G=1.1027 | frob=2.8712 (best=2.7907) | 33.4s
Epoch 126/300 | D=-0.6064 G=1.0063 | frob=2.7365 (best=2.7907) | 33.7s
Epoch 127/300 | D=-0.6054 G=0.9290 | frob=2.6848 (best=2.7365) | 33.5s
Epoch 128/300 | D=-0.6026 G=0.8215 | frob=2.7113 (best=2.6848) | 33.1s
Epoch 129/300 | D=-0.6024 G=0.7617 | frob=2.6685 (best=2.6848) | 33.4s
Epoch 130/300 | D=-0.5975 G=0.6640 | frob=2.6483 (best=2.6685) | 32.8s
Epoch 131/300 | D=-0.5995 G=0.5762 | frob=2.7046 (best=2.6483) | 33.1s
Epoch 132/300 | D=-0.5973 G=0.4672 | frob=2.6044 (best=2.6483) | 33.5s
Epoch 133/300 | D=-0.6000 G=0.3909 | frob=2.6528 (best=2.6044) | 33.4s
Epoch 134/300 | D=-0.5912 G=0.3208 | frob=2.6172 (best=2.6044) | 33.2s
Epoch 135/300 | D=-0.5897 G=0.2605 | frob=2.7004 (best=2.6044) | 33.1s
Epoch 136/300 | D=-0.5937 G=0.1839 | frob=2.6350 (best=2.6044) | 33.1s
Epoch 137/300 | D=-0.5897 G=0.1454 | frob=2.6289 (best=2.6044) | 33.1s
Epoch 138/300 | D=-0.5856 G=0.0528 | frob=2.6001 (best=2.6044) | 33.4s
Epoch 139/300 | D=-0.5871 G=-0.0158 | frob=2.6538 (best=2.6001) | 33.2s
Epoch 140/300 | D=-0.5827 G=-0.0569 | frob=2.7508 (best=2.6001) | 33.1s
Epoch 141/300 | D=-0.5767 G=-0.0744 | frob=2.7001 (best=2.6001) | 33.3s
Epoch 142/300 | D=-0.5762 G=-0.0896 | frob=2.7506 (best=2.6001) | 33.4s
Epoch 143/300 | D=-0.5732 G=-0.1250 | frob=2.6519 (best=2.6001) | 33.3s
Epoch 144/300 | D=-0.5701 G=-0.1585 | frob=2.5457 (best=2.6001) | 33.1s
Epoch 145/300 | D=-0.5635 G=-0.1948 | frob=2.6465 (best=2.5457) | 33.3s
Epoch 146/300 | D=-0.5626 G=-0.2316 | frob=2.5992 (best=2.5457) | 33.3s
Epoch 147/300 | D=-0.5598 G=-0.2515 | frob=2.6200 (best=2.5457) | 33.2s
Epoch 148/300 | D=-0.5579 G=-0.2538 | frob=2.8128 (best=2.5457) | 33.3s
Epoch 149/300 | D=-0.5567 G=-0.2723 | frob=2.5865 (best=2.5457) | 33.5s
Epoch 150/300 | D=-0.5514 G=-0.3322 | frob=2.4113 (best=2.5457) | 33.7s
Epoch 151/300 | D=-0.5501 G=-0.3447 | frob=2.4927 (best=2.4113) | 33.3s
Epoch 152/300 | D=-0.5449 G=-0.3641 | frob=2.7162 (best=2.4113) | 33.2s
Epoch 153/300 | D=-0.5392 G=-0.3609 | frob=2.6655 (best=2.4113) | 33.3s
Epoch 154/300 | D=-0.5420 G=-0.3851 | frob=2.4354 (best=2.4113) | 33.4s
Epoch 155/300 | D=-0.5351 G=-0.4263 | frob=2.5660 (best=2.4113) | 33.5s
Epoch 156/300 | D=-0.5358 G=-0.4589 | frob=2.7386 (best=2.4113) | 33.3s
Epoch 157/300 | D=-0.5319 G=-0.4702 | frob=2.7216 (best=2.4113) | 33.2s
Epoch 158/300 | D=-0.5283 G=-0.4871 | frob=2.5683 (best=2.4113) | 33.4s
Epoch 159/300 | D=-0.5228 G=-0.5088 | frob=2.6513 (best=2.4113) | 33.2s
Epoch 160/300 | D=-0.5199 G=-0.5205 | frob=2.5360 (best=2.4113) | 33.2s
Epoch 161/300 | D=-0.5182 G=-0.5130 | frob=2.4881 (best=2.4113) | 33.3s
Epoch 162/300 | D=-0.5135 G=-0.5250 | frob=2.4500 (best=2.4113) | 33.4s
Epoch 163/300 | D=-0.5116 G=-0.5269 | frob=2.4975 (best=2.4113) | 33.8s
Epoch 164/300 | D=-0.5109 G=-0.5431 | frob=2.6264 (best=2.4113) | 33.4s
Epoch 165/300 | D=-0.5070 G=-0.5620 | frob=2.4490 (best=2.4113) | 33.4s
Epoch 166/300 | D=-0.5054 G=-0.5846 | frob=2.3477 (best=2.4113) | 33.1s
Epoch 167/300 | D=-0.4996 G=-0.6016 | frob=2.5663 (best=2.3477) | 33.4s
Epoch 168/300 | D=-0.4973 G=-0.6103 | frob=2.5422 (best=2.3477) | 33.4s
Epoch 169/300 | D=-0.4968 G=-0.6020 | frob=2.4672 (best=2.3477) | 33.3s
Epoch 170/300 | D=-0.4925 G=-0.6237 | frob=2.5779 (best=2.3477) | 33.4s
Epoch 171/300 | D=-0.4893 G=-0.6500 | frob=2.4252 (best=2.3477) | 33.2s
Epoch 172/300 | D=-0.4856 G=-0.6394 | frob=2.7329 (best=2.3477) | 33.3s
Epoch 173/300 | D=-0.4822 G=-0.6255 | frob=2.7222 (best=2.3477) | 33.3s
Epoch 174/300 | D=-0.4812 G=-0.6156 | frob=2.6397 (best=2.3477) | 33.3s
Epoch 175/300 | D=-0.4770 G=-0.6326 | frob=2.5849 (best=2.3477) | 33.1s
Epoch 176/300 | D=-0.4785 G=-0.6500 | frob=2.5123 (best=2.3477) | 33.8s
Epoch 177/300 | D=-0.4742 G=-0.6534 | frob=2.2893 (best=2.3477) | 33.2s
Epoch 178/300 | D=-0.4695 G=-0.6787 | frob=2.9029 (best=2.2893) | 33.2s
Epoch 179/300 | D=-0.4706 G=-0.7019 | frob=2.7511 (best=2.2893) | 33.5s
Epoch 180/300 | D=-0.4683 G=-0.6972 | frob=2.7766 (best=2.2893) | 33.5s
Epoch 181/300 | D=-0.4642 G=-0.6947 | frob=2.4935 (best=2.2893) | 33.4s
Epoch 182/300 | D=-0.4633 G=-0.6828 | frob=2.3831 (best=2.2893) | 33.4s
Epoch 183/300 | D=-0.4591 G=-0.7127 | frob=2.9186 (best=2.2893) | 33.4s
Epoch 184/300 | D=-0.4556 G=-0.7218 | frob=2.5693 (best=2.2893) | 33.4s
Epoch 185/300 | D=-0.4563 G=-0.7387 | frob=2.8311 (best=2.2893) | 33.3s
Epoch 186/300 | D=-0.4553 G=-0.7431 | frob=2.5086 (best=2.2893) | 33.3s
Epoch 187/300 | D=-0.4517 G=-0.7384 | frob=2.8575 (best=2.2893) | 33.3s
Epoch 188/300 | D=-0.4482 G=-0.7632 | frob=3.0114 (best=2.2893) | 33.3s
Epoch 189/300 | D=-0.4461 G=-0.7742 | frob=2.7441 (best=2.2893) | 33.4s
Epoch 190/300 | D=-0.4463 G=-0.7806 | frob=2.5186 (best=2.2893) | 33.6s
Epoch 191/300 | D=-0.4439 G=-0.8089 | frob=2.6153 (best=2.2893) | 33.3s
Epoch 192/300 | D=-0.4411 G=-0.7975 | frob=2.9712 (best=2.2893) | 33.4s
Epoch 193/300 | D=-0.4382 G=-0.7911 | frob=2.6191 (best=2.2893) | 33.5s
Epoch 194/300 | D=-0.4357 G=-0.8093 | frob=2.6587 (best=2.2893) | 33.3s
Epoch 195/300 | D=-0.4352 G=-0.8093 | frob=2.8969 (best=2.2893) | 33.4s
Epoch 196/300 | D=-0.4298 G=-0.7912 | frob=2.9429 (best=2.2893) | 33.1s
Epoch 197/300 | D=-0.4254 G=-0.7869 | frob=3.1440 (best=2.2893) | 33.3s
Epoch 198/300 | D=-0.4319 G=-0.7721 | frob=2.8872 (best=2.2893) | 33.4s
Epoch 199/300 | D=-0.4250 G=-0.7669 | frob=2.5093 (best=2.2893) | 33.7s
Epoch 200/300 | D=-0.4242 G=-0.7435 | frob=2.8869 (best=2.2893) | 33.4s
Epoch 201/300 | D=-0.4236 G=-0.7398 | frob=2.7328 (best=2.2893) | 33.5s
Epoch 202/300 | D=-0.4186 G=-0.7401 | frob=2.6551 (best=2.2893) | 33.4s
Epoch 203/300 | D=-0.4213 G=-0.7566 | frob=2.6854 (best=2.2893) | 33.2s
Epoch 204/300 | D=-0.4176 G=-0.7446 | frob=2.9908 (best=2.2893) | 33.4s
Epoch 205/300 | D=-0.4158 G=-0.7458 | frob=2.8869 (best=2.2893) | 33.0s
Epoch 206/300 | D=-0.4125 G=-0.7419 | frob=2.8401 (best=2.2893) | 33.3s
Epoch 207/300 | D=-0.4161 G=-0.7587 | frob=2.9799 (best=2.2893) | 33.3s
Epoch 208/300 | D=-0.4105 G=-0.7465 | frob=2.7260 (best=2.2893) | 33.3s
Epoch 209/300 | D=-0.4087 G=-0.7469 | frob=2.9841 (best=2.2893) | 33.3s
Epoch 210/300 | D=-0.4091 G=-0.7449 | frob=3.1111 (best=2.2893) | 33.2s
Epoch 211/300 | D=-0.4068 G=-0.7447 | frob=2.9835 (best=2.2893) | 33.1s
Epoch 212/300 | D=-0.4079 G=-0.7242 | frob=3.1970 (best=2.2893) | 33.1s
Epoch 213/300 | D=-0.4049 G=-0.7382 | frob=2.8833 (best=2.2893) | 33.3s
