[sf_balanced] all (60 assets) | device=cuda | seed=42
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [sf_balanced] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
  SF: EMA gradient scaling (τ=0.3), warmup=30
----------------------------------------------------------------------
Epoch  93/300 | D=-0.2056 G=-2.1269 SF=0.0007(s=10.00) | frob=1.8507 (best=1.7164) | 18.5s
Epoch  94/300 | D=-0.2278 G=-1.7585 SF=0.0006(s=10.00) | frob=2.2847 (best=1.7164) | 18.5s
Epoch  95/300 | D=-0.2400 G=-1.6411 SF=0.0006(s=10.00) | frob=1.8249 (best=1.7164) | 18.6s
Epoch  96/300 | D=-0.2541 G=-1.4813 SF=0.0006(s=10.00) | frob=1.7572 (best=1.7164) | 18.6s
Epoch  97/300 | D=-0.2735 G=-1.3061 SF=0.0006(s=10.00) | frob=1.7494 (best=1.7164) | 18.5s
Epoch  98/300 | D=-0.2795 G=-1.2810 SF=0.0006(s=10.00) | frob=2.0994 (best=1.7164) | 18.5s
Epoch  99/300 | D=-0.3038 G=-1.1777 SF=0.0006(s=10.00) | frob=1.8096 (best=1.7164) | 18.5s
Epoch 100/300 | D=-0.3161 G=-1.1293 SF=0.0006(s=10.00) | frob=1.6830 (best=1.7164) | 18.6s
Epoch 101/300 | D=-0.3306 G=-1.0310 SF=0.0006(s=10.00) | frob=1.6676 (best=1.6830) | 18.6s
Epoch 102/300 | D=-0.3485 G=-0.8717 SF=0.0006(s=10.00) | frob=1.8315 (best=1.6676) | 18.4s
Epoch 103/300 | D=-0.3599 G=-0.8432 SF=0.0006(s=10.00) | frob=2.0666 (best=1.6676) | 18.6s
Epoch 104/300 | D=-0.3850 G=-0.7953 SF=0.0005(s=10.00) | frob=1.9650 (best=1.6676) | 18.4s
Epoch 105/300 | D=-0.3949 G=-0.6900 SF=0.0006(s=10.00) | frob=1.7544 (best=1.6676) | 18.7s
Epoch 106/300 | D=-0.4034 G=-0.6414 SF=0.0005(s=10.00) | frob=2.0063 (best=1.6676) | 18.4s
Epoch 107/300 | D=-0.4162 G=-0.6338 SF=0.0005(s=10.00) | frob=1.6733 (best=1.6676) | 18.5s
Epoch 108/300 | D=-0.4308 G=-0.5098 SF=0.0005(s=10.00) | frob=2.0259 (best=1.6676) | 18.4s
Epoch 109/300 | D=-0.4388 G=-0.4665 SF=0.0005(s=10.00) | frob=1.8654 (best=1.6676) | 18.4s
Epoch 110/300 | D=-0.4520 G=-0.4626 SF=0.0005(s=10.00) | frob=1.8017 (best=1.6676) | 18.5s
Epoch 111/300 | D=-0.4616 G=-0.4413 SF=0.0006(s=10.00) | frob=1.6840 (best=1.6676) | 18.6s
Epoch 112/300 | D=-0.4731 G=-0.4223 SF=0.0006(s=10.00) | frob=1.6290 (best=1.6676) | 18.7s
Epoch 113/300 | D=-0.4742 G=-0.3612 SF=0.0005(s=10.00) | frob=1.6016 (best=1.6290) | 18.5s
Epoch 114/300 | D=-0.4899 G=-0.4101 SF=0.0005(s=10.00) | frob=1.6774 (best=1.6016) | 18.6s
