[sf_disc_aug] device=cuda, hidden=256, lr=0.0005
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  Train windows: 2890, Val: 3142
Training [sf_disc_aug] | T_L=252 | lr=0.0005
  G: 2,514,400 params
  D: 1,684,618 params
  SF disc aug: λ=0.5
----------------------------------------------------------------------
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:829: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:179.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  79/300 | D=-0.2485 G=8.3517 SF=0.0328 | frob=5.0260 (best=5.1680) | 33.2s
Epoch  80/300 | D=-0.2711 G=8.3057 SF=0.0312 | frob=5.4749 (best=5.0260) | 32.6s
Epoch  81/300 | D=-0.2682 G=8.4410 SF=0.0349 | frob=5.5857 (best=5.0260) | 32.9s
Epoch  82/300 | D=-0.2618 G=8.1282 SF=0.0351 | frob=5.4028 (best=5.0260) | 34.0s
Epoch  83/300 | D=-0.2479 G=8.1407 SF=0.0304 | frob=5.1880 (best=5.0260) | 33.3s
Epoch  84/300 | D=-0.2670 G=7.8061 SF=0.0342 | frob=5.2063 (best=5.0260) | 33.2s
Epoch  85/300 | D=-0.2633 G=8.1939 SF=0.0351 | frob=5.1274 (best=5.0260) | 32.6s
Epoch  86/300 | D=-0.2587 G=8.2423 SF=0.0303 | frob=4.8954 (best=5.0260) | 32.4s
Epoch  87/300 | D=-0.2663 G=7.9878 SF=0.0323 | frob=5.3915 (best=4.8954) | 32.8s
Epoch  88/300 | D=-0.2568 G=7.9894 SF=0.0369 | frob=5.5033 (best=4.8954) | 33.1s
Epoch  89/300 | D=-0.2614 G=7.7465 SF=0.0394 | frob=5.0081 (best=4.8954) | 32.8s
Epoch  90/300 | D=-0.2685 G=7.5098 SF=0.0277 | frob=5.2194 (best=4.8954) | 32.8s
Epoch  91/300 | D=-0.2773 G=7.7237 SF=0.0292 | frob=4.9708 (best=4.8954) | 32.6s
Epoch  92/300 | D=-0.2721 G=7.6182 SF=0.0245 | frob=5.1853 (best=4.8954) | 32.9s
Epoch  93/300 | D=-0.2817 G=7.7102 SF=0.0265 | frob=5.3537 (best=4.8954) | 33.3s
Epoch  94/300 | D=-0.2725 G=7.6184 SF=0.0279 | frob=5.1725 (best=4.8954) | 32.9s
Epoch  95/300 | D=-0.2641 G=7.4359 SF=0.0339 | frob=5.2008 (best=4.8954) | 32.4s
Epoch  96/300 | D=-0.2741 G=7.4089 SF=0.0288 | frob=5.3431 (best=4.8954) | 32.8s
Epoch  97/300 | D=-0.2750 G=7.1084 SF=0.0262 | frob=5.1736 (best=4.8954) | 33.2s
Epoch  98/300 | D=-0.2795 G=7.2640 SF=0.0237 | frob=5.0590 (best=4.8954) | 33.0s
Epoch  99/300 | D=-0.2750 G=7.2641 SF=0.0340 | frob=5.0911 (best=4.8954) | 32.4s
Epoch 100/300 | D=-0.2872 G=7.1134 SF=0.0259 | frob=5.2056 (best=4.8954) | 32.9s
Epoch 101/300 | D=-0.2754 G=7.2384 SF=0.0282 | frob=4.8470 (best=4.8954) | 33.2s
Epoch 102/300 | D=-0.2812 G=7.2221 SF=0.0278 | frob=5.1118 (best=4.8470) | 32.7s
Epoch 103/300 | D=-0.2741 G=6.9116 SF=0.0364 | frob=5.2742 (best=4.8470) | 32.9s
Epoch 104/300 | D=-0.2733 G=7.0165 SF=0.0319 | frob=5.3719 (best=4.8470) | 32.9s
Epoch 105/300 | D=-0.2755 G=7.2081 SF=0.0408 | frob=4.9506 (best=4.8470) | 33.3s
Epoch 106/300 | D=-0.2787 G=6.8346 SF=0.0260 | frob=4.8779 (best=4.8470) | 32.7s
Epoch 107/300 | D=-0.2878 G=7.1433 SF=0.0247 | frob=5.0486 (best=4.8470) | 33.5s
Epoch 108/300 | D=-0.2851 G=7.0387 SF=0.0226 | frob=5.0868 (best=4.8470) | 32.1s
