[sf_balanced] all (60 assets) | device=cuda | seed=7
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [sf_balanced] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
  SF: EMA gradient scaling (τ=0.3), warmup=30
----------------------------------------------------------------------
Epoch 136/300 | D=-0.5971 G=0.4771 SF=0.0005(s=10.00) | frob=1.8986 (best=1.6540) | 33.1s
Epoch 137/300 | D=-0.5910 G=0.3981 SF=0.0005(s=10.00) | frob=1.7105 (best=1.6540) | 33.1s
Epoch 138/300 | D=-0.5901 G=0.2562 SF=0.0005(s=10.00) | frob=1.9373 (best=1.6540) | 33.3s
Epoch 139/300 | D=-0.5916 G=0.2047 SF=0.0005(s=10.00) | frob=1.8439 (best=1.6540) | 33.3s
Epoch 140/300 | D=-0.5869 G=0.1483 SF=0.0004(s=10.00) | frob=1.8646 (best=1.6540) | 33.1s
Epoch 141/300 | D=-0.5847 G=0.0879 SF=0.0004(s=10.00) | frob=1.7988 (best=1.6540) | 33.4s
Epoch 142/300 | D=-0.5825 G=0.0227 SF=0.0004(s=10.00) | frob=2.0553 (best=1.6540) | 33.4s
Epoch 143/300 | D=-0.5807 G=-0.0471 SF=0.0004(s=10.00) | frob=2.0493 (best=1.6540) | 33.3s
Epoch 144/300 | D=-0.5798 G=-0.0995 SF=0.0004(s=10.00) | frob=1.6464 (best=1.6540) | 33.2s
Epoch 145/300 | D=-0.5763 G=-0.1709 SF=0.0004(s=10.00) | frob=1.7435 (best=1.6464) | 33.2s
Epoch 146/300 | D=-0.5729 G=-0.2219 SF=0.0004(s=10.00) | frob=1.7754 (best=1.6464) | 33.4s
