[macro_film] commodities (20 assets) | device=cuda | seed=42
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=20, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=20, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [macro_film] | T_L=252 | lr=0.0005
  G: 2,564,000 params
  D: 1,789,185 params
----------------------------------------------------------------------
Epoch 130/300 | D=-0.0037 G=31.2814 | frob=1.1636 (best=1.0880) | 32.3s
Epoch 131/300 | D=-0.0174 G=29.6849 | frob=1.0255 (best=1.0880) | 32.2s
Epoch 132/300 | D=-0.0196 G=29.9615 | frob=1.0390 (best=1.0255) | 32.2s
Epoch 133/300 | D=-0.0187 G=29.9890 | frob=1.1146 (best=1.0255) | 32.2s
Epoch 134/300 | D=-0.0248 G=28.7483 | frob=1.2059 (best=1.0255) | 32.1s
Epoch 135/300 | D=-0.0187 G=27.5953 | frob=1.1019 (best=1.0255) | 32.1s
Epoch 136/300 | D=-0.0141 G=27.8011 | frob=1.2085 (best=1.0255) | 32.2s
Epoch 137/300 | D=-0.0310 G=27.5022 | frob=1.1263 (best=1.0255) | 32.1s
Epoch 138/300 | D=-0.0210 G=27.2704 | frob=1.1303 (best=1.0255) | 32.1s
Epoch 139/300 | D=-0.0342 G=26.3654 | frob=1.0881 (best=1.0255) | 32.2s
Epoch 140/300 | D=-0.0425 G=24.3368 | frob=1.1990 (best=1.0255) | 32.2s
Epoch 141/300 | D=-0.0351 G=23.7404 | frob=1.1394 (best=1.0255) | 32.2s
Epoch 142/300 | D=-0.0458 G=23.4424 | frob=1.1844 (best=1.0255) | 32.1s
Epoch 143/300 | D=-0.0266 G=22.7136 | frob=1.0780 (best=1.0255) | 32.2s
Epoch 144/300 | D=-0.0234 G=21.0143 | frob=1.1060 (best=1.0255) | 32.1s
Epoch 145/300 | D=-0.0192 G=20.5605 | frob=1.2033 (best=1.0255) | 32.2s
Epoch 146/300 | D=-0.0228 G=20.2063 | frob=1.0232 (best=1.0255) | 32.2s
Epoch 147/300 | D=-0.0271 G=19.9034 | frob=0.9688 (best=1.0232) | 32.2s
Epoch 148/300 | D=-0.0266 G=18.9297 | frob=0.9139 (best=0.9688) | 32.1s
Epoch 149/300 | D=-0.0328 G=18.4658 | frob=0.9239 (best=0.9139) | 32.0s
Epoch 150/300 | D=-0.0358 G=16.9846 | frob=0.8933 (best=0.9139) | 32.1s
Epoch 151/300 | D=-0.0372 G=16.0709 | frob=0.9376 (best=0.8933) | 32.2s
Epoch 152/300 | D=-0.0408 G=15.3351 | frob=0.9666 (best=0.8933) | 32.3s
Epoch 153/300 | D=-0.0315 G=15.0741 | frob=0.9201 (best=0.8933) | 32.2s
Epoch 154/300 | D=-0.0373 G=14.2570 | frob=0.9451 (best=0.8933) | 32.2s
Epoch 155/300 | D=-0.0378 G=13.6049 | frob=0.9401 (best=0.8933) | 32.2s
Epoch 156/300 | D=-0.0523 G=12.8705 | frob=0.8783 (best=0.8933) | 32.1s
Epoch 157/300 | D=-0.0460 G=12.2732 | frob=0.8209 (best=0.8783) | 32.2s
Epoch 158/300 | D=-0.0613 G=12.0519 | frob=0.8347 (best=0.8209) | 32.2s
Epoch 159/300 | D=-0.0606 G=11.6582 | frob=0.7746 (best=0.8209) | 32.2s
Epoch 160/300 | D=-0.0748 G=10.9845 | frob=0.8152 (best=0.7746) | 32.2s
Epoch 161/300 | D=-0.0770 G=10.1662 | frob=0.7950 (best=0.7746) | 32.2s
Epoch 162/300 | D=-0.0907 G=9.7073 | frob=0.8122 (best=0.7746) | 32.1s
Epoch 163/300 | D=-0.0854 G=9.1393 | frob=0.7924 (best=0.7746) | 32.2s
Epoch 164/300 | D=-0.1111 G=8.8130 | frob=0.7186 (best=0.7746) | 32.2s
Epoch 165/300 | D=-0.1126 G=8.2627 | frob=0.7128 (best=0.7186) | 32.1s
Epoch 166/300 | D=-0.1174 G=7.6692 | frob=0.7552 (best=0.7128) | 32.2s
Epoch 167/300 | D=-0.1298 G=7.4068 | frob=0.7394 (best=0.7128) | 32.2s
Epoch 168/300 | D=-0.1295 G=7.1790 | frob=0.7423 (best=0.7128) | 32.2s
